,CM Artist ID,CM Track ID,Title,Artist,Spotify Track IDs,Release Dates
19,2378,13898653,Songs That She Sang In The Shower,Jason Isbell,"['5MLFtxZQxdEBxeksmbE5xz', '1UNJZexB1y8oiUMEHHLj21', '5nRUYacZKTdSuCXnXHWtiG', '2iFvwe7bJQtREpxc2B9DfN']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
20,2378,13898655,Super 8,Jason Isbell,"['2xbfVS3A5RQtPbWVXyKZEo', '4d2B48kTHgvTkIuRKXqKHK', '6HghPIdTiXHxdJTgrqOId4']","['2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
21,2378,13898647,Stockholm,Jason Isbell,"['0l8yEF94h7YXyxMGBKYrYo', '50jCufTCFlIht3mK3EuMTp', '1N2kxA9OquESPvyO6xhIQh', '2i2zVYtqbPGuu8iuQUdgDO']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
22,2378,14529238,Hurricanes And Hand Grenades,Jason Isbell,"['0qSDDNXbuyNe1AzGd0LLxC', '6pMhS7CG5U896m0Y113eVx', '6bdGKCX6v6ihGh9QHfmRWZ', '1bZO2cu1t0ZH4x7Zrp3hH6', '3xdkzbcABDSE3lhmCIqcWh']","['2008-12-15T00:00:00.000Z', '2007-07-10T00:00:00.000Z', '2007-07-10T00:00:00.000Z']"
23,2378,13898665,The Life You Chose,Jason Isbell,"['7u7KSW5VKTYOTod6NvYgvT', '5EXBzozPlEPwZBIi5YhkCK', '05H3elLXLE5JHNxavhRlcE']","['2015-07-17T00:00:00.000Z', '2015-07-17T00:00:00.000Z']"
24,2378,13898662,Flagship,Jason Isbell,"['5PR9qWvwblnlOfX6Jlvne8', '5p3UDN3AtQB90HN101LFbP', '7bB1BKDh57l0SEl73YlPXT']","['2015-07-17T00:00:00.000Z', '2015-07-17T00:00:00.000Z']"
25,2378,16088591,Tecumseh Valley,Jason Isbell,['7eby7k1AaLr3YT8z9wE996'],['2013-07-09T00:00:00.000Z']
26,2378,13898667,Speed Trap Town,Jason Isbell,"['7a2I0WmLSr15suvCqXH11b', '0Ex5dDCH0qz5ySfm3seYJr', '6gzoj0rKncFNis3gCiFLet']","['2015-07-17T00:00:00.000Z', '2015-07-17T00:00:00.000Z']"
27,2378,13898652,Live Oak,Jason Isbell,"['51JJuDBT4n2bgVasYgkBjD', '6RFGzzLgOH7IY7CGDITrjI', '7h7ojHJdLSIpmpkR3vN0rU']","['2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
28,209680,15203989,Things That I Lean On,Wynonna,"['16D7vwG8vCEWferlmVZbEP', '1oNe2ZuUdcGHmJtRdSZ44P', '3LeURmyMZEM7rLS3p88Lml']","['2016-02-12T00:00:00.000Z', '2016-02-12T00:00:00.000Z', '2020-01-24T00:00:00.000Z']"
29,2378,14529175,The Devil Is My Running Mate,Jason Isbell,"['5VbgvySuxfLseLyfWXvmtg', '0hlVjy4OBwo80WR8MNKNH7', '1HpCkprBuADxxy6FjzjQGn', '6X0W2CuycWA01FD8Kag5qq', '4XYSWvWmOFC7NfAfa7bVdn']","['2008-12-15T00:00:00.000Z', '2007-07-10T00:00:00.000Z', '2007-07-10T00:00:00.000Z']"
30,2378,13898654,New South Wales,Jason Isbell,"['1VtHFh6n7v8iRMfb3h85pd', '5AQIrUyRAxzOw3L9GtPlgG', '64x9fSGCy17EtM4kvJo4gS', '2V9mF4HxJCTeZJ5aSSSq8z']","['2013-01-01T00:00:00.000Z', '2013-06-11T00:00:00.000Z', '2013-06-11T00:00:00.000Z']"
31,2378,13910105,"Johnny Reb, That’s Me",Jason Isbell,"['6HzNl6RNaf8ld3ynXktzTs', '50PcBEcKkJJUkLubCFDB2c']","['2013-05-14T00:00:00.000Z', '2013-05-14T00:00:00.000Z']"
32,2378,14529240,Shotgun Wedding,Jason Isbell,"['6mG9hAX4AFlUxErxb1bRXq', '2GfbEf92yMmM2G9HqXjeOW', '3MiEuscY5UmIK6UZmYkzPl', '3gJlVAnrLncU9OH73G0gRe', '1T4MpmHzeqwfTBAzzm3aeP']","['2008-12-15T00:00:00.000Z', '2007-07-10T00:00:00.000Z', '2007-07-10T00:00:00.000Z']"
33,2378,15894772,Now That Your Dollar Bills Have Sprouted Wings,Jason Isbell,"['4sjOFgMs0t7Qsz1hVMAq9O', '4IVaC91gTvKRN0zxOGMhnk']",['2014-07-28T00:00:00.000Z']
34,2378,15541276,Nobody Knows You When You're Down And Out,Jason Isbell,"['6aLAPbSDU8dYP4ZpxxGZa6', '0MBlYwZlBp03dwXgATO9J9']","['2010-02-16T00:00:00.000Z', '2010-02-16T00:00:00.000Z']"
35,2378,20104684,Crystal Clear (Bonus Track),Jason Isbell,"['0ezPpXJ1uJUsMrWSjMezMr', '6TxX8Oova5roqPJFt9k13U', '25FaU9HmuN19aWU03uV9Yw']","['2018-06-29T00:00:00.000Z', '2007-07-10T00:00:00.000Z']"
36,2378,14529174,The Magician,Jason Isbell,"['0sTq6rHi4dmTyuuhuymGZC', '3OfWvQWZpJcXOM4Fni3hNr', '5JSEVWsTRg0cnHdpdJ0NSI', '6FD5XBldUEh3VSyF9bqGBn', '5NNcNZPSnF8yLaF91vIPNv']","['2008-12-15T00:00:00.000Z', '2007-07-10T00:00:00.000Z', '2007-07-10T00:00:00.000Z']"
37,2378,13898658,I Follow Rivers,Jason Isbell,['29xD114tlx4rYh17Rthmw9'],['2015-02-10T00:00:00.000Z']
38,2378,16088592,Pancho & Lefty,Jason Isbell,['0gMLWnTbbo9aIh7Mzknn9o'],['2013-07-09T00:00:00.000Z']
